,pmid,outcome,labels,full_text_values
1650,38022664,"['incidence of adverse events (AEs)', 'progression-free survival (PFS)', 'overall survival (OS)', 'objective response rate (ORR)', 'disease control rate (DCR)']","['Adverse Event', 'Mortality', 'Mortality', 'Clinical', 'Clinical']","[['Grade 3�4 AEs in the CIK-SOX group: neutropenia (12.9%), anemia (3.2%), thrombocytopenia (9.7%), febrile neutropenia (9.7%), fever (3.2%); Grade 3�4 AEs in the SOX group: neutropenia (35.7%), febrile neutropenia (32.1%), anemia (7.1%), thrombocytopenia (3.6%); incidence of febrile neutropenia (p = 0.03) and neutropenia (p = 0.04) in the SOX group was significantly higher than in the CIK-SOX group'], ['Median PFS values were 6.9 months [95% confidence interval (CI), 4.3�8.8] in the CIK-SOX group and 4.9 months [95% CI, 3.6�7.7] in the SOX group (hazard ratio (HR) 0.80, p=0.45); The 6-month PFS rate was 51.6% in the CIK-SOX group and 32.1% in the SOX group; The respective 12-month PFS rates were 12.9% and 14.3%; The respective 18-month PFS rates were 9.7% and 7.1%; Subgroup analysis showed that tumor metastasis to more than two organs (HR 2.088, 95% CI 1.139�3.827, p=0.016) was an independent risk factor for PFS; Multivariate analysis showed that tumor metastasis to no fewer than two organs (HR 2.143, 95% CI 1.167�3.934, p=0.0139) and age (?65 years old; HR 2.533, 95% CI 1.005�6.383, p=0.049) were risk factors for PFS.', 'p=0.049 for ?3 cycles', 'p=0.013 for ?4 cycles'], ['17.8 months (95% CI, 10.2�24.3)', '9.75 months (95% CI, 6.4�16.5; HR 0.76, p=0.34)', '12-month survival rate: CIK-SOX group - 61.3%, SOX group - 42.9%', 'At 18 months, OS rates were 48.4% and 28.6%, respectively', 'p=0.019 for ?3 cycles'], ['55.2% (95% CI, 35.7�73.6%)'], ['93.1% (95% CI, 77.2�99.2%)']]"
1651,38019227,"['MD Anderson Dysphagia Inventory', 'University of Washington-Quality of Life', '100 ml Water Swallow Test']","['Life impact', 'Life impact', 'Clinical']","[[""['MDADI']""], ['mentioned', 'UW-QOL', 'significantly different and higher scores or improvement in activity, swallowing, chewing, speech and saliva of Do-IMRT as compared to S-IMRT at either of the post periods (P< 0.05 or P< 0.01)'], ['P<0.05 or P<0.01 for higher scores in Do-IMRT compared to S-IMRT at both 6 and 12 months post radiotherapy', 'significantly different and higher scores or improvement in both swallowing volume and swallowing capacity of Do-IMRT as compared to S-IMRT at either of the post periods (P< 0.05 or P< 0.001)']]"
1652,38018652,"['EORTC QLQ C30 questionnaire scores', 'EROTC QLQ C30', 'incidence of nausea and vomiting, appetite loss, constipation, and diarrhea']","['Life impact', 'Life impact', 'Adverse Event']","[['no significant difference', 'overall quality of life (75.45 � 15.46 vs. 61.55 � 19.12, p = 0.001)', 'pain (6.76 � 13.87 vs. 17.75 � 25.68, p = 0.021)', 'nausea and vomiting (4.05 � 9.13 vs. 22.46 � 24.14, p < 0.001)', 'appetite loss (9.91 � 15.45 vs. 22.46 � 24.40, p = 0.010)', 'constipation (6.31 � 13.24 vs. 23.91 � 24.00, p < 0.001)', 'overall quality of life (76.90 � 18.31 vs. 58.89 � 17.17, p < 0.001)', 'role function (93.33 � 11.58 vs. 85.93 � 15.06, p = 0.023)'], [], ['16.67%, 26.19%, 16.67%, and 4.76% (group BP-1)', '63.27%, 53.06%, 57.14%, and 18.37% (group C)', 'lower in group BP-1 than in group C']]"
1653,38016718,"['Pathological complete response', 'CD8+ T cells increase in RDs', 'Decline in CD4+ FoxP3+ regulatory T cells', 'Upregulation of PD-1 on sTILs', 'Overexpression of programmed death-ligand 1 (PD-L1) in residual tumors', 'Grade?3 adverse event incidence rates']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event']","[['64.5%', '95% CI 45.4% to 80.1%', 'The median level of sTILs in pretreatment samples from patients with a pCR was significantly higher as compared with non-pCR patients'], ['CD8+ T cells significantly increased in post-treatment residual diseases of both arms (p=0.014 and 0.002 for arms A and B, respectively)'], ['A significant decrease in the level of CD4+ FoxP3+ regulatory T cells (Tregs) was observed only in arm B (p=0.016)'], ['A significant upregulation of PD-1 on sTILs was found in postneoadjuvant residual disease of patients enrolled in arm B (p=0.012)'], ['PD-L1 (CPS score?1%) was significantly overexpressed in residual tumors in arm A (p=0.02)'], []]"
1654,38012647,['Proportion of visits where women were screened for cervical cancer'],['Clinical'],"[['30% (n = 3) of SAIA clinics reported that they performed cervical cancer screening at baseline compared to 60% (n = 6) of control clinics', '2.5% (37/1507) in SAIA facilities', '3.7% (66/1793) in control clinics', 'Prevalence ratio [PR] 0.67, 95% confidence interval [CI] 0.45�1.00', 'Adjusted PR 1.14, 95% CI 0.74�1.75', '4.2% (289/6940) in SAIA clinics', '2.3% (198/8740) in control clinics']]"
1655,37997283,"['Postoperative venous thromboembolism (VTE)', 'postoperative hemoglobin', 'postoperative D-dimer', 'BMI', 'operation time', 'lower extremity varicose veins', 'postoperative ileus', 'postoperative hypoxemia', ""Nomogram's AUC""]","['Adverse Event', 'Adverse Event', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event', 'Adverse Event', 'Clinical']","[['93 patients (10.6% VTE incidence in the total cohort)', 'independent predictors', '90.4%'], ['8.3 g/L'], ['4.53 ?g/mL'], ['P = 0.010', '28.65 kg/m2'], ['statistically significant differences found between training and validation groups', 'P = 0.009'], ['P = 0.002'], ['P = 0.001'], ['P = 0.000'], ['0.826']]"
1656,37994788,"['Shared decision-making visit scheduling', 'Lung cancer screening CT exams']","['None', 'Clinical']","[['8.5%', '9.4% in control group vs 7.7% in culturally targeted outreach group', '67.5% female, 50% Medicaid insurance for those who scheduled', 'nearly all'], ['about 50%']]"
1657,37991939,"['disease-free survival (DFS)', 'adjuvant disease-free survival (aDFS)']","['Mortality', 'Clinical']","[['706/1000 patients had developed a DFS event after a median follow-up period of 13.1 years', '13-year DFS rates: normal weight - 66.2% (95% CI = 62.4% to 69.7%), overweight - 59.5% (95% CI = 55.7% to 63.1%), obese - 52.4% (95% CI = 47.2% to 57.4%); Overweight and obese patients experienced deterioration in DFS compared with normal weight patients; adjusted HR for overweight = 1.16, P = .10; adjusted HR for obesity = 1.26, P = .03', 'statistically significant deterioration in younger than 60 years patients compared to normal weight patients of the same age', 'HR: 0.86, 95% CI: 0.72 to 1.01, P = .073'], ['13-year OS rates: normal weight - 77.6% (95% CI = 74.1% to 80.6%), overweight - 71.5% (95% CI = 68.0% to 74.7%), obese - 67.7% (95% CI = 62.5% to 72.2%); adjusted HR for overweight vs normal weight: 1.20 (95% CI = 0.97 to 1.48; P = .10), adjusted HR for obese vs normal weight: 1.16 (95% CI = 0.91 to 1.48; P = .23)', 'HR: 0.86, 95% CI: 0.72 to 1.01, P = .073', 'adjusted HR for normal weight: 1.48; 95% CI: 0.98 to 2.23; P = .06', 'adjusted HR for overweight: 0.72; 95% CI: 0.51 to 1.02; P = .07', 'adjusted HR for obese patients: 0.92; 95% CI: 0.60 to 1.41; P = .72', 'P-interaction = .03']]"
1658,37990301,"['Anxiety', 'Depression', 'Distress', 'Fatigue', 'Health-related quality of life domains']","['Life impact', 'Life impact', 'Life impact', 'Clinical', 'Life impact']","[['70.1%', 'HADS anxiety', '-0.2', '95% CI -1.2 to 0.7', 'p = 0.618', 'minimum clinically important difference: 1.5 points', 'baseline standard deviation: 3 points', '-1.9', '95% CI -3.5 to -0.3; p = 0.019', 'no evidence of relevant higher impairment'], ['51.6%', '2 points less', 'no evidence of relevant higher impairment'], [], [], ['psycho-oncological contents (group A: mean = 7.7, SE = 0.4; group B: mean = 7.9, SE = 0.4; p = 0.747)', 'learning objectives (group A: mean = 9.0, SE = 0.4; group B: mean = 8.8, SE = 0.4; p = 0.629)']]"
1659,37988950,['overall survival (OS)'],['Mortality'],"[['minimum follow-up was 19.5 months', 'Median OS (95% CI) was 18.8 months (15.7-23.2 months) with nivolumab plus chemotherapy and 15.6 months (13.0-18.4 months) with chemotherapy', '12-month OS rates (95% CI) were 67% (61% to 72%) versus 59% (53% to 65%) and 18-month rates were 51% (45% to 57%) and 45% (39% to 51%) with nivolumab plus chemotherapy versus chemotherapy, respectively', 'With 36 months� minimum follow-up, median OS was 18.8 months versus 15.0 months; 3-year OS rates of 30% versus 22%', 'OS was similar between treatments in most subgroups at 19.5 months� follow-up but appeared to favor nivolumab plus chemotherapy in smokers and patients with tumor PD-L1 expression ?50%', 'P = 0.1859', ""{'median': '18.3 months', '95% CI': '(15.8-21.4) months', 'chemotherapy + nivolumab vs chemotherapy': True, 'HR': '0.81', '12-month OS rates': '67% (62% to 72%)', '18-month OS rates': '51% (46% to 56%)'}"", ""{'median': '14.7 months', '95% CI': '(12.4-16.8) months', 'chemotherapy vs chemotherapy + nivolumab': True, 'HR': '1', '12-month OS rates': '56% (51% to 61%)', '18-month OS rates': '42% (37% to 47%)'}"", ""{'median': '18.3 months', '95% CI': '(15.8-21.6) months', 'chemotherapy + nivolumab vs chemotherapy with extended follow-up': True, 'HR': '0.79', '3-year OS rates': '28% vs 20%'}"", 'Median OS (months) with nivolumab plus chemotherapy versus chemotherapy, respectively: 16.2 vs 17.2 and 21.6 vs 14.0 in patients with or without KRAS mutation; 20.7 vs 19.6 and 19.8 vs 13.9 in patients with or without KRAS G12C mutation; 20.7 vs 9.5 and 19.8 vs 15.0 in patients with or without STK11 mutation; 19.8 vs 8.0 and 20.7 vs 15.0 in patients with or without KEAP1 mutation; and 16.1 vs 14.0 and 23.2 vs 14.5 in patients with or without TP53 mutation.', ""{'TMB high': '21.4 months', 'TMB low': '19.8 months', 'Chemotherapy alone TMB high': '12.4 months', 'Chemotherapy alone TMB low': '14.8 months'}"", '18.2 vs 14.1 months for LIPI score 1', '12.6 vs 8.3 months for LIPI score 2', '30.3 vs 31.3 months for LIPI score 0', '47%']]"
1660,37988949,"['Chemotherapy-induced peripheral neuropathy (CIPN)', 'Functional Assessment of Cancer Therapy/Gynaecologic Oncology Group-Neurotoxicity 4']","['Adverse Event', 'Life impact']","[['higher CIPN scores from 6 months onwards in patients who received FOLFOX compared to those who received CAPOX', 'higher in people with baseline peripheral neuropathy scores ?1 compared to those with a score of 0, especially prominent at the 3-month group', '-1.6 at 6 months (95% CI -2.3 to -0.9)', '-1.5 up to 24 months (95% CI -2.4 to -0.6)', 'P < 0.01', 'score ?1 vs score = 0', '40% at baseline, increasing to 88% at both 18-month and 24-month assessments'], []]"
1661,37986290,"['Prognosis prediction', 'Overall survival', 'Tumor mutational burden', 'Immune microenvironment infiltration', 'HAVCR2 expression', 'miR-328-3p, miR-3934-5p, miR-664b-5p, miR-3677-3p and miR-200c-5p expression levels']","['Clinical', 'Mortality', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[['29 m6A-related miRNAs were found to be related with survival via univariate Cox regression analysis', 'The 5-year AUC of training set and validation set were 0.713 and 0.731, respectively (Fig. 5A and B), which implied that risk score exhibited good performance in predicting survival.', 'high-risk group had a shorter survival time than low-risk group in both sets (all P < .05)', 'risk score', 'low-risk group vs high-risk group'], ['AUC for predicting 1-year: 0.825', 'AUC for predicting 3-year: 0.837', 'AUC for predicting 5-year: 0.799'], ['significantly higher in the low-risk group (P = .018)'], ['more in high-risk group', 'activated dendritic cells (P = .008), activated memory CD4+ T cells (P = .004) higher in low-risk group; regulatory T cells (P = .002), M0 macrophages (P = .007) higher in high-risk group'], ['only HAVCR2 was significantly different between high-risk group and low-risk group (P < .05)'], ['enriched in MAPK signaling pathway, Ras signaling pathway, Wnt signaling pathway, Hippo signaling pathway, TGF-? signaling pathway', '0.1120*hsa-miR-328-3p', '0.0653*hsa-miR-664b-5p', '-0.0266*hsa-miR-3677-3p', '-0.0325*hsa-miR-200c-5p', '-0.0368*hsa-miR-3934-5p', 'down-regulated in SW620 compared with SW480', 'except miR-200c-5p which was up-regulated']]"
1662,37980767,"['symptoms in women with pre-clinical invasive epithelial ovarian cancer (iEOC)', 'stage', 'gastrointestinal symptoms (change in bowel habits and dyspepsia)', 'systemic symptoms (mostly lethargy/tiredness)']","['Clinical', 'Clinical', 'Adverse Event', 'Clinical']","[['47% reported symptoms', '39% (26/67) and 51% (86/167) respectively of women with early and advanced stage disease were symptomatic compared to 84% (80/95) and 91% (580/635) in the CD group.', '22%, 15/67; advanced stage 30%, 50/167', '27%, 18/67; advanced stage 35%, 58/167', 'gastrointestinal (35%, 9/26 PC; 9%, 7/80; p = 0.001), systemic (27%, 7/26 PC; 9%, 7/80; p = 0.017)', 'fewer abdominal (57%, 49/86 PC; 74%, 431/580; p = 0.001)', 'more gynaecological (20%, 17/86 PC; 8%, 48/580; p = 0.001)', 'more urinary (26%, 22/86 PC; 12%, 71/580; p = 0.001)'], ['CD: median age at diagnosis of iEOC was 66.8 years (IQR 62.3�71.6); PC: median age at diagnosis of HGSC was 67.0 years (IQR 63.0�71.6)', 'early', 'advanced', 'significant downstaging', '84%'], ['62%16/26, PC; 53%42/80, CD; p = 0.42', '57% 49/86, PC; 74%, 431/580, CD; p = 0.001', '35% (9/26 PC); 9% (7/80); p = 0.001', ""less 'increase in abdominal size/bloating'""], ['27% (7/26 PC); 9% (7/80); p = 0.017', 'more reported lethargy and tiredness']]"
1663,37976668,"[""accuracy of PCP's preference diagnoses"", 'concordance between patient-physician dyads', 'time spent discussing CRC testing']","['Clinical', 'Life impact', 'Life impact']","[['52% (166/319)', '60% for colonoscopy', '50% for stool-based tests', '73% for no further testing', '19% for unsure', 'adjusted 55% Intervention, 48% Comparator; adjusted b=0.31, p=0.22, marginal R2<.01', 'all p values <0.002'], ['82% (312/381)', '?=0.19', '18% (59 dyads) for stool-based testing', '16% (52 dyads) for colonoscopy', '14% (46 dyads) for no further testing', '3% (9 dyads) for unsure'], ['<2 minutes, 2�5 minutes, or more than 5 minutes']]"
1664,37976444,"['progression-free survival (PFS)', 'overall survival (OS)', 'immune-mediated adverse events (AEs)']","['Mortality', 'Mortality', 'Adverse Event']","[['At the final analysis of PFS, the primary end point of PFS in the PAS did not reach statistical significance (stratified HR, 1.11; 95% CI, 0.89 to 1.38; P = .3504; median PFS 5.4 months tiragolumab v 5.6 months control;', 'Median PFS in the FAS was similar to the PAS: 5.1 months tiragolumab and 5.4 months control (stratified HR, 1.08; 95% CI, 0.89 to 1.31;', 'In the PAS, PFS rates at 6 and 12 months were 35.2% and 14.2% with tiragolumab and 42.4% and 17.3% with control, respectively.', 'Corresponding PFS rates in the FAS were 31.3% and 12.3% with tiragolumab and 38.0% and 14.1% with control.', 'No significant difference'], ['median OS: 13.6 months', 'HR: 1.04', '95% CI: 0.79 to 1.36', 'P = .7963', 'Median OS at final OS analysis between the treatment arms was the same in the PAS (13.1 months both arms; stratified HR, 1.14; 95% CI, 0.90 to 1.44; P = .2859; Fig 3A), and similar in the FAS (12.8 months tiragolumab v 12.9 months control; stratified HR, 1.09; 95% CI, 0.88 to 1.35; P = .4205; Fig 3B). OS rates at 24 months were similar in the tiragolumab and control arms in both the PAS (20% v 28%, respectively) and the FAS (21% v 26%, respectively)', ""{'LDH ? ULN': 'median OS: 19.4 months (tiragolumab) vs 14.9 months (control); HR, 1.46; 95% CI, 1.02 to 2.10'}"", ""{'Brain metastases at baseline': 'median OS: 11.7 months (tiragolumab) vs 10.8 months (control); unstratified HR, 0.93; 95% CI, 0.57 to 1.50; P = .7523'}"", ""{'Treated brain metastases': 'median OS: 12.4 months (tiragolumab) vs 15.7 months (control); unstratified HR, 0.95; 95% CI, 0.39 to 2.29'}"", ""{'Untreated brain metastases': 'median OS: 11.7 months (tiragolumab) vs 10.2 months (control); unstratified HR, 0.92; 95% CI, 0.51 to 1.67'}"", ""{'PD-L1 ?1% tumor cell or immune cell': 'median OS: 14.5 months (tiragolumab) vs 13.1 months (control); HR, 1.01; 95% CI, 0.75 to 1.37'}""], ['?1 AE: 238 (99.6%) in tiragolumab arm, 245 (99.6%) in control arm; Grade 3/4 AEs: 153 (64.0%) in tiragolumab arm, 157 (63.8%) in control arm; Treatment-related AEs (TRAEs): 223 (93.3%) in tiragolumab arm, 227 (92.3%) in control arm; Grade 5 AEs: 15 (6.3%) in tiragolumab arm, 16 (6.5%) in control arm; Grade 5 TRAEs: one (0.4%) in tiragolumab arm, five (2.0%) in control arm; AEs leading to withdrawal of any study treatment: 20 patients (8.4%) in tiragolumab arm, 23 (9.3%) in control arm', '130 (54.4%) patients in the tiragolumab arm', '121 (49.2%) patients in the control arm', 'Grade 3/4 AESIs: 19 patients in each of the tiragolumab (7.9%) and control (7.7%) arms', 'Three grade 5 AESIs reported', 'AESIs requiring systemic corticosteroids: 29 patients (12.1%) in the tiragolumab arm, 30 patients (12.2%) in the control arm']]"
1665,37973806,"['number of lymph nodes retrieved', 'three-year overall survival (OS)', 'three-year disease-free survival (DFS)', 'recurrence patterns', 'overall recurrence rates']","['Clinical', 'Mortality', 'Mortality', 'Clinical', 'Clinical']","[['mean [SD], 50.5 [15.9] vs. 42.0 [10.3]', 'Lower: mean [SD], 50.0 [16.6] vs. 40.8 [9.9]', 'Upper/Middle: mean [SD], 51.1 [14.9] vs. 42.8 [10.4]', '50.6 (15.9) for ICG group', '42.0 (10.3) for non-ICG group', '?30 in ICG group', '<30 in non-ICG group'], ['86.0% (18 of 129) in the ICG group', '73.6% (34 of 129) in the non-ICG group', 'superior in ICG group compared to non-ICG group (log-rank P = 0.014)', '81.4% for ?30 LNs', '56.3% for <30 LNs', '86.0%', '81.8% vs 77.4%', 'log-rank P = 0.412', '100.0% vs. 94.5%', '76.0% vs 58.1%', 'P-interaction for OS = 0.077', 'adjusted P-interaction for OS = 0.061'], ['81.4% (95% CI = 74.7%-88.1%, 105 of 129) in the ICG group and 68.2% (95% CI = 58.3%-75.1%, 88 of 129) in the non-ICG group, with an absolute difference of 13.2%', 'better in the ICG group compared to the non-ICG group (log-rank P = 0.011)', '76.0% for ?30 LNs', '56.3% for <30 LNs', '81.4%', 'HR = 0.52; 95%CI, 0.29�0.92; P = 0.024', '77.6% vs 71.3%', 'log-rank P = 0.238', '100.0% vs. 94.5%', '68.0% vs 48.6%', 'P-interaction for DFS = 0.125', 'adjusted P-interaction for DFS = 0.094'], [], ['cumulative incidence for cancer-specific death: ICG vs non-ICG = 13.2% vs. 24.8%', '17.8% (ICG group)', '31.0% (non-ICG group)', '17.8%']]"
1666,37966841,"['pathologic complete response (pCR) at the time of definitive surgery', 'event-free survival (EFS)']","['Clinical', 'Mortality']","[['58.7% (95% CI, 46.7%-69.9%) in pembrolizumab plus chemotherapy group', '40.0% (95% CI, 26.4%-54.8%) in placebo plus chemotherapy group', '18.7% treatment difference (95% CI, 0.7%-35.4%); 61.4% (95% CI, 47.6%-74.0%) in pembrolizumab plus chemotherapy group for PD-L1 CPS of 1 or higher', '41.7% (95% CI, 25.5%-59.2%) in placebo plus chemotherapy group for PD-L1 CPS of 1 or higher; treatment difference of 19.7% (95% CI, ?1.2% to 39.0%); 50.0% in pembrolizumab plus chemotherapy group for PD-L1 CPS less than 1', '35.7% in placebo plus chemotherapy group for PD-L1 CPS less than 1; treatment difference of 14.3% (95% CI, ?20.4% to 45.3%)'], ['39.8 months (range, 30.4-46.9 months) in the pembrolizumab plus chemotherapy group and 40.8 months (range, 30.1-46.9 months) in the placebo plus chemotherapy group.', 'HR, 0.35; 95% CI, 0.17-0.71', 'At 36 months, the EFS rate was 91.2% (95% CI, 85.0%-94.9%) in the pembrolizumab plus chemotherapy group and 77.2% (95% CI, 66.3%-85.0%) in the placebo plus chemotherapy group', ""{'pembrolizumab plus chemotherapy': '100% (95% CI, 100%-100%)', 'placebo plus chemotherapy': '94.4% (95% CI, 79.6%-98.6%)'}"", ""{'pembrolizumab plus chemotherapy (patients with pCR)': '77.7% (95% CI, 64.1%-86.7%)', 'placebo plus chemotherapy (patients without pCR)': '62.8% (95% CI, 46.6%-75.3%)'}""]]"
1667,37965797,"['cancer-related fatigue (CRF)', 'quality of life (QOL)', 'physical activity', 'depression', 'anxiety', 'sleep quality', 'social capital']","['Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","[['no significant differences', '-1.60 at M2', '-1.36 at M3', '-1.03 at M4'], ['no significant differences', 'significant increase', 'coefficient = 26.98, CI [20.64,33.32] at M2', 'coefficient = 14.09, CI [6.57, 21.60] at M3', 'coefficient = 8.51, CI [0.42, 16.59] at M4 compared with the M1 average'], ['no significant differences', 'coefficient = 33.47, CI [1.17, 65.77]'], ['no significant differences'], ['no significant differences'], ['no significant differences'], ['no significant differences']]"
1668,37962891,"['worst pain intensity score', 'Fatigue, insomnia, and quality of life (secondary outcomes)']","['Clinical', 'Life impact']","[['6.9 (1.5)', 'mean', '-2.53 (acupuncture), -3.01 (massage)', '95% CI: (-2.92 to -2.15) (acupuncture), 95% CI: (-3.38 to -2.63) (massage)', 'P = .07 for between-group difference'], ['improved at week 26 relative to baseline']]"
1669,37960236,"['Changes in serum-derived biomarkers', 'Prognostic nutritional index', 'CONUT score', 'NLR and NLRAR as inflammatory indicators']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","[['Median increase in cholesterol levels in the group receiving ADT was 8% (IQR 1�17%)'], [], ['38% of patients in the fourth quartile experienced an increase from baseline to 3 months'], ['increased in patients with bone localizations (p = 0.0198)', 'at 3 months after SBRT']]"
1670,37960219,"['Postoperative immune function', 'Intestinal mucosal barrier function', 'Diamine oxidase levels', 'D-lactic acid levels', 'Endotoxin levels', 'Times to first flatus and first bowel movement', 'Postoperative complications', 'Peripheral white blood cell (WBC) levels', 'Neutrophil-lymphocyte ratios (NLR)', 'Albumin levels', 'CD4+T and CD8+T counts']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[[], [], ['-2.244 on the 3rd day', '-2.583 on the 7th day'], ['-2.051 on the 3rd day', '-2.192 on the 7th day'], ['-2.645 on the 3rd day', '-3.027 on the 7th day', 'Correlation coefficients for diamine oxidase and endotoxin on the 3rd postoperative day with complications being 0.335 and 0.445, respectively, statistically significant at p < 0.01'], [""{'Study Group': '2.88 � 0.83 days', 'Control Group': '3.57 � 1.24 days'}"", 'p < 0.05 for both times to first flatus and first bowel movement'], ['no severe postoperative complications', 'Reduced complication rate in study group compared to control group (chi-square = 4.252, p < 0.05)', 'Study group: three instances of anastomotic leakage and two occurrences of bleeding', 'Control group: six instances of bleeding, four anastomotic or residual fistula, three postoperative infections, and a single case of pulmonary embolism'], ['?2.210', 'p < 0.05'], ['?2.390', 'p < 0.05'], ['significantly elevated', 'p < 0.05'], ['CD4+T: notably elevated (t = 3.050, p < 0.05); CD8+T: notably elevated (t = 2.594, p < 0.05)']]"
1671,37957750,"['Tumor-infiltrating lymphocytes', 'Circulating lymphocytes', '14 soluble immune mediators', 'Effects on breast cancer cell lines']","['Clinical', 'Clinical', 'Clinical', 'Clinical']","[['sTILs: +17.5%, iTILs: +2.0% (RCB ? 1.36, n=12)', '-1.0% p = 0.001 and -1.0% p = 0.023 (higher RCB, n=62)', '+20% vs. 0.0% p = 0.002 (pCR+ vs. pCR-, n=6 vs. n=69)', 'higher changes increased the chance for RCB 0/I and pCR'], ['no effects on lymphocytes in the tumor microenvironment', '0.86 � 10^3 � 0.42 cells/?l', 'maintains lymphocyte number'], ['uPA', 'CXCL10', 'sTNFSF10', 'suPAR', 'CCL8', 'reduces', 'increases', 'CXCL10, suPAR, and uPA'], ['docetaxel induced a secretion of many factors including CXCL10, suPAR, and uPA from cancer cell lines, while WBCs remained unresponsive; epirubicin, in contrast, induced no increase of any of these factors', 'docetaxel induced a significant increase of the G2/G1 ratio in all six cell lines', 'epirubicin-treatment caused an increase of cells in G1 and the formation of sub-G1 cells, which reflects a DNA laddering during apoptosis', 'Docetaxel-treated cells increased in size forming multinucleated giant cells with accumulated intracellular vacuole', 'Epirubicin-treated cells showed classical apoptotic morphological features such as cell shrinkage and numerous apoptotic extracellular vesicles']]"
1672,37957686,"['Sun-related behaviors', 'Psychosocial variables', 'Incidence of skin cancer', 'Lesion size', 'Stage of disease at diagnosis', 'Worry and concern about skin cancer', 'Perceived risk and severity', 'Response efficacy', 'Self-efficacy', 'Familism', 'Recent distress about skin cancer']","['None', 'Life impact', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Life impact', 'Clinical', 'Life impact', 'None', 'Life impact']","[['37.1% of participants reported ever having a paid or unpaid job for a year or more in which they usually worked outdoors for at least one hour during the day.', 'Participants reported an average of 1.70 h/day (SD = 1.62) of weekday sun exposure, 2.02 h/day (SD = 1.62) of weekend sun exposure, and rare outdoor intentional tanning (M = 1.65, SD = 0.87) over the past year.', 'Nearly a third of participants (29.7%) reported ever having a sunburn in the past 12 months, with an average of 1.71 sunburns (SD = 1.01) among those ever sunburned.', 'Only 2.3% of participants reported indoor tanning in the past year.', 'Wearing of sleeved shirts was practiced often or always by a majority (61.2%) of participants, nearly half (47.9%) wore sunglasses, and 40.8% sought shade or used an umbrella;', 'Less than a quarter of participants wore a hat (17.4%) or used sunscreen (22.6%) often or always.', 'The average total number of the five sun protection behaviors practiced often or always over the past year was 1.91 (SD = 1.27).', 'weekday sun exposure (p = 0.01)', 'total number of sun protection behaviors (p = 0.04)', 'outdoor intentional tanning (p < 0.0001)', 'ever having sunburns (p = 0.0002)', 'wearing sunglasses often or always (40.2%, p < 0.01)', 'using sunscreen often or always (15.4%, p < 0.01)'], ['Spanish-preferring Tampe�os had higher weekday sun exposure (M = 1.99) than English-preferring Tampe�os (M = 1.49, p < 0.01)', 'Both Spanish-preferring Tampe�os (16.2%, p < 0.0001) and Spanish-preferring Puerto Ricans (24.0%, p < 0.0001) had a lower proportion of ever having a sunburn than English-preferring Tampe�os (35.9%)', 'Spanish-preferring Puerto Ricans (M = 1.51, p < 0.01) and Spanish-preferring Tampe�os (M = 1.38, p < 0.01) also had less frequent outdoor intentional tanning than English-preferring Tampe�os (M = 1.86)', 'Spanish-preferring Puerto Ricans were less likely to wear sunglasses often or always (40.2%, p < 0.01) and less likely to use sunscreen (15.4%, p < 0.01) often or always than English-preferring Tampe�os (54.4% and 29.0%, respectively)', 'Proportions for Spanish-preferring Tampe�os (47.7% and 22.6%, respectively) were intermediate to the two other groups for both behaviors'], ['p < 0.0001'], [], [], ['20.8% reported recently worrying about skin cancer sometimes to all the time', '26.8% reported recently being a bit to very concerned', 'recent worry about skin cancer (p = 0.047)', 'recent concern about skin cancer (p = 0.0006)'], ['31.8% of participants reported being likely to get skin cancer', '11.2% believed their chances of getting skin cancer to be above or well above the average', 'Perceived severity (M = 2.48, SD = 0.40)'], ['High levels of response efficacy (M = 3.32, SD = 0.71)', 'response efficacy (p < 0.0001)', 'OR = 0.33', '95%CI:0.26�0.41'], ['High levels of self-efficacy (M = 3.40, SD = 0.59)', 'OR = 0.25', '95%CI:0.17�0.38'], ['familism (p < 0.0001)'], ['Participants had low mean levels of recent distress about skin cancer (M = 7.50, SD = 12.0)', 'recent distress about skin cancer (p = 0.01)']]"
