Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
25649903,['≥18 years'],['female'],['Colorectal cancer'],10000 patients,"['The eligibility of the population under study includes American Society of Anesthesiologists (ASA) grades I-III, indicating no life-threatening systemic diseases.', 'The eligibility criterion for the population under study is Age ≥18 years old.', 'The eligibility criterion for the population under study is being younger than 18 years.']",
25649019,,['female'],"['HER2-amplified breast cancer', 'HER2-nonamplified breast cancer', 'Triple-negative breast cancer (TNBC)', 'ER/PR-positive breast cancer']",3222 patients,"['3,298 and 3,222 patients']",
25647781,['not specified'],"['female', 'japanese']",['advanced pancreatic cancer'],24 patients,"['Eligible patients were stratified by extent of disease (metastatic vs. locally advanced pancreatic cancer), randomly assigned (1:1) to receive axitinib/gemcitabine or placebo/gemcitabine.', '18 years old']",
25641925,['44 vs. 53 years'],['hispanic'],"['Triple-negative breast cancer', 'Triple Negative Breast Cancer (TNBC)']",['173 patients'],"['indigent population', 'The eligibility criteria for the population under study include being diagnosed with triple-negative breast cancer (TNBC) between 2004 and 2011 at either PMH or SCC hospitals. Patients with incomplete data on weight, height, or Ki-67 were excluded from the analysis.']",
25640275,['≥ 18 years'],['female'],['Advanced cancer'],920 patients,"['339', '8% patients 18 years old or older, 90% were parents (mostly mothers), 2% grandparents.', '87 of 104 patients completed study requirements', '104 enrolled patients', '1669', 'Answer: 165 eligible PQ opportunities over nine-month period']",
25638326,['not specified'],['male and female'],['primary stage IVB or recurrent or persistent carcinoma of the cervix with measurable disease'],452 patients,['Eligibility required primary Stage IVB or recurrent/persistent carcinoma of the cervix with measurable disease and GOG performance status 0–1.'],
25636332,['18-45 years'],['female'],['invasive breast cancer'],410 patients,"['The given text chunk describes the implementation strategy for reaching a diverse population. It mentions that the study is being conducted in both academic institutions (14 sites) and community sites (40 sites) across the United States. Therefore, the eligibility of the population under study includes patients from these various settings.\n\nAnswer: Both academic institutions and community sites across the United States', 'Eligibility criteria: within three months of initial diagnosis of stage I-III invasive breast cancer, without a known recurrence or metastatic breast cancer; 18–45 years of age at time of diagnosis; able to read and write in English.', 'n = 36', 'premenopausal women undergoing treatment for early stage breast cancer']",
25633037,['not specified'],['female'],['non-response to screening invitation'],500 patients,"['The eligibility of the population under study includes all resident female populations aged 25-64 in Bologna, Pieve di Soligo, and Molise who are actively invited for a Pap test every 3 years. In Teramo, Roma G, and Este-Monselice, HPV-based pilot projects are active targeting women aged 25-64 at the time of the study.', 'Women aged 30–64 years who had been invited by the screening programme in the previous months and had failed to respond were eligible for mail recall.', 'female', 'female', 'female', 'female']",
25630357,['≤50 years'],['heterosexual'],['primary breast cancer'],144 patients,"['80 eligible couples', 'Eligible couples are those in which the woman has received a diagnosis within the last 36 months of invasive breast carcinoma (non-metastatic), or ductal carcinoma in-situ, at or before the age of 50 years. Couples must be in a committed, heterosexual relationship and both partners must fluently read and write in English with access to a computer with a reliable internet connection.', 'Eligible patients from across Canada and their partners are being identified and informed about the study by their health care providers at collaborating institutions in Ontario, Nova Scotia, Manitoba, and British Columbia.', 'gender, age, ethnicity, education, employment status, relationship status, living arrangement, number and gender of children']",
25625938,['adult'],['Chinese population'],['metastatic castration refractory prostate cancer (mCRPC)'],228 patients,"['The eligibility criteria for the population under study included: histologically or cytologically confirmed prostate adenocarcinoma, Karnofsky performance status (KPS) ≥70, life expectancy≥3 months, documented metastatic prostate cancer that was unresponsive or refractory to hormone therapy, documented progression detected by PSA increase, prior surgical therapy and radiotherapy (with bone marrow depression risk ≤25%) allowed if at least 4 weeks had elapsed since completion of these therapies and recovered from side effects, effective androgen deprivation by surgical castration (orchiectomy) and/or drug castration needed (testosterone level≤50ng/dL), compliance with the anti-androgen withdrawal period, achieved stable analgesia for a minimum of 7 consecutive days prior to randomization.', '228 patients']",
25616355,['38-91 years'],['female'],"['HR+ve breast cancer', None]","['2,596']",[['postmenopausal']],
25613468,['50-69 years'],['men'],,415000 patients,"['Over 415,000 men aged 50–69 years were included, representing approximately 8% of the male population of England and Wales in this age group.']",
25613115,"['<50, ≥50 to <60, ≥60']",['sex-matched'],['chronic liver disease'],"['220 patients', '276 participants', '1,018']","['40-69 years, cytologically diagnosed esophageal dysplasia', '40-69 years', '1018']",
25612795,['continuous'],['male and female'],"['cancer', 'head and neck cancer']",205 patients,"['328 eligible patients', 'The eligibility criteria for the population under study include age (continuous), gender (male or female), education level (low, middle, or high), marital status (married/living together or single), employment status (employed, not employed, retired), smoking habits (yes or no), and daily alcohol consumption (<3 units a day or >3 units a day). Additionally, participants must have been diagnosed with either oral cavity/oropharynx cancer, hypopharynx/larynx cancer, and their tumor stage should be I-II or III-IV. The treatment received by the participant should include surgery, radiotherapy, chemoradiation, or combination of these treatments as per medical records.', 'The eligibility criteria for the population under study include participants who minimally completed the baseline and 3-month assessments but did not complete the 12-month assessment. Missing values in certain variables were imputed using multiple imputation (10×) with constraints given for each variable.']",
25609264,['≥ 18 years'],['asian'],['gastric and colorectal cancer'],120 patients,['18 years'],
25605862,['≥18 years'],['female'],['metastatic breast cancer'],905 patients,"['female sex; age ≥ 18 years; histologically or cytologically confirmed breast cancer; up to three prior chemotherapy regimens and up to two prior chemotherapy regimens for advanced and/or metastatic disease; prior therapy with an anthracycline and a taxane; resolution of all chemotherapy- or radiation-related toxicities to ≤ grade 1 (except for stable sensory neuropathy ≤ grade 2 and alopecia); Eastern Cooperative Oncology Group performance status of 0 to 2; adequate renal, bone marrow, and liver function. Measurable or nonmeasurable disease was allowed. Exclusion criteria included prior capecitabine treatment and radiation therapy encompassing more than 30% of marrow. Patients with human epidermal growth factor receptor 2 (HER2) –positive disease could have received HER2-targeted therapy before or after study treatment but not while on study treatment.', 'The eligibility criteria for the population under study include stratification based on geographic region (Latin America, Western Europe/Australia, Eastern Europe, North America, Asia, or South Africa) and HER2 status of their cancer (positive, negative, or unknown). Patients were randomly assigned to receive either eribulin mesylate 1.4 mg/m2 intravenously over 2 to 5 minutes on days 1 and 8, or capecitabine 1.25 g/m2 orally twice per day on days 1 to 14, both in 21-day cycles.', '1,100 patients']",
25604851,['18 years or older'],['Chinese'],['advanced gastric cancer'],200 patients,"['Eligible patients had Karnofsky performance status (KPS) 80 or above, weight loss during previous 3 months of 5% or less, and were randomly assigned to receive either docetaxel plus cisplatin followed by 5-FU (mDCF regimen) or cisplatin followed by 5-FU (CF regimen).', '18 years or older; histologically proven gastric or gastroesophageal junction adenocarcinoma; measurable and/or assessable metastatic disease according to Response Evaluation Criteria In Solid Tumors (RECIST) version 1.0; KPS higher than 70; no prior palliative chemotherapy; 6 weeks or longer following radiotherapy and 3 weeks or longer following surgical intervention; and adequate hepatic, renal, and hematologic function']",
25601342,['18 years and older'],['male'],['unresectable stage III non-small-cell lung cancer'],500 patients,"['The eligibility criteria for the population under study include having stage IIIA or IIIB non-small-cell lung cancer, no previous invasive cancer during the previous 3 years, Zubrod performance status score of 0–1, less than 10% weight loss (in the month before study entry), and pulmonary function (before or after bronchodilation) of 1·2 L per s or higher. Tumour histology was classified as squamous cell, adenocarcinoma, large-cell carcinoma, or non-small-cell lung cancer not otherwise specified. Patients with contralateral hilar or supraclavicular adenopathy or Pancoast tumours were excluded because of the risk of lung or brachial plexus toxic effects. Minimum pleural effusions were allowed if they were transudative and cytologically negative by thoracentesis. CT of the lung and upper abdomen and brain MRI with contrast was needed within 6 weeks of registration. Laboratory investigation requirements included the absolute neutrophil count of 1800 cells per μL or higher, platelets 100 000 cells per μL or higher, haemoglobin 10 g/dL or higher, normal serum creatinine and bilirubin, and aspartate amino transferase and alanine aminotransferase concentrations 2·5 times or lower the upper institutional normal limit.', 'Eligible patients were assigned to one of four treatment groups based on radiotherapy technique, Zubrod performance status, use of PET during tumour staging, and histology.']",
25598168,['≥ 18 years old'],['female'],['cancer survivors'],60 patients,"['≥ 18 years old, had a diagnosis of cancer, and had received or were currently receiving chemotherapy and/or radiotherapy']",
25593016,['≥18 years'],['male and female'],"['locally advanced, recurrent or metastatic head and neck squamous cell cancer (HNSCC)']",80 patients,"[['at least one prior systemic treatment regimen', 'no more than two prior systemic treatment regimens']]",
25589624,['adults'],['female'],"['BRCA-mutant ovarian cancer', 'primary peritoneal, fallopian tube, or high-grade serous ovarian cancers (HGSOC)']",65 patients,"['18 years of age or older with histologically documented BRCA mutation-positive ovarian cancer (documented deleterious BRCA1/2 mutation or a BRCAPRO score of ≥30%), primary peritoneal cancer, fallopian tube cancer, or HGSOC, received at least one line of standard therapy and have measurable disease, Karnofsky performance status ≥ 70%, adequate liver, kidney, and marrow function.', 'Patients must have completed previous anticancer therapy or surgery at least 4 weeks prior to enrollment and have treated brain metastases stable for more than 4 weeks off steroids.', '65 patients per arm', 'The eligibility of the population under study is patients enrolled at the NCI.']",
25584489,['≥18 years'],['female'],"['gastric or oesophagogastric junction cancer', 'MET-positive', 'MET-negative']",121 patients,"['121', '⩾18 years of age', '91 patients']",
25578926,['56.6 years'],['female'],['breast cancer'],60 patients,"['Eligibility criteria: ≥age 21 years; Hispanic descent and fluent in Spanish; no uncontrolled diabetes mellitus, defined as hemoglobin A1C >7%; no uncontrolled comorbidities (e.g., hypertension); currently a non-smoker; average intake of <5 servings of fruits and vegetables per day; access to a functional home or cell phone; not currently active in a dietary change program.', 'female', 'female', 'female', '70 women']",
25576433,['20-69 years'],['female'],"['early-stage breast cancer', 'invasive breast carcinoma']",150 patients,"['The eligibility criteria for the population under study include women aged 20-69 years with stage I-III primary invasive breast carcinoma, Eastern Cooperative Oncology Group performance status of 0-2, no prior chemotherapy, ANC ≥1500/μL, platelet count ≥100,000/μL, hemoglobin concentration ≥10 g/dL, normal liver function tests, normal renal function, and negative hepatitis B status. Exclusion criteria are cardiac failure, recent radiation therapy, other cancers, or bilateral breast cancer.', '50 sites', '150']",
25572620,['21+ yr'],['female'],"['cancer', 'tobacco use disorder']",['427 patients'],"['The eligibility criteria for the population under study include being adult cancer survivors, having smoked regularly for a year or more, being at least 21 years old, speaking English, and having access to a telephone. Any histologic subtype of cancer is qualified for entry into this study. Participants who were unable to understand consent procedures or communicated an unwillingness to be randomized were excluded.', 'The eligibility criteria for receiving nicotine replacement therapy (NRT) in this study included no sensitivity or allergy to nicotine, not being pregnant, breastfeeding, or planning pregnancy within two months, and no history of severe arrhythmias, myocardial infarction, unstable angina, cerebrovascular incident, blood vessel disease, pheochromocytoma, diabetes, hyperthyroidism, abnormal kidney or liver function, gastritis, peptic ulcers, or smoking less than five cigarettes per day. A total of 17 participants did not receive NRT.', '15']",
25572571,['20-80 years'],"['male and female', 'non-Japanese']",['unresectable stage III NSCLC'],,"['20-80 years, unresectable stage IIIA or IIIB NSCLC diagnosed between January 2009 and November 2011, Eastern Cooperative Oncology Group performance status of 0 or 1, no previous chemotherapy or radiotherapy, adequate hematologic, hepatic, and renal function, leukocyte count of 4000–12 000/μl, platelet count of ≥100 000/μl, hemoglobin level of ≥9 g per 100 ml, serum bilirubin level of ≤1.5 mg per 100 ml, serum aspartate aminotransferase and alanine aminotransferase levels of ≤100 IU/ml, alkaline phosphatase level no more than twice the upper limit of normal, normal creatinine level, partial pressure of arterial oxygen of ≥65 torr in room air.', 'excluded: pregnant, malignant pleural effusion, malignant pericardial effusion, concomitant malignancy, serious comorbidities such as clinically significant cardiac dysfunction, active infection, neurologic or psychiatric disorders']",
25559916,['5-12 years'],"['gender', 'female', 'mothers and fathers']",['pediatric cancer'],66 patients,['off active cancer treatment for 6 months to 4 years'],
25556355,,['female'],"['early breast cancer', None]",38 patients,['The eligibility criteria for the population under study include women with histologically confirmed HER2-negative stage II or III breast cancer.'],
27391598,,['female'],"['advanced/metastatic breast cancer', 'advanced/MBC']","['1102', '762 patients']","['Patients who had received up to three prior chemotherapy regimens, including up to two regimens for advanced and/or metastatic disease, were eligible; prior therapy must have included an anthracycline and a taxane.', 'Patients must have received two to five prior chemotherapy regimens including an anthracycline and a taxane with at least two for locally recurrent breast cancer or MBC. They were randomized 2:1 to eribulin or TPC, stratified by geographical region, previous capecitabine use, and HER2 status.']",
25547480,['19-100 years'],"['female', 'caucasian']",['terminal illness'],348 patients,"['18 years or older, English speaking, with no or only mild cognitive impairment, functional hearing, with access to a standard phone line or internet access at home, and an informal caregiver of a hospice patient.', 'patient diagnosis (cancer, non-cancer) as reported by the caregiver, patient age, caregiver age, patient gender, caregiver gender, patient race, caregiver race, caregiver’s relationship to the patient (spouse/partner, adult child, other), caregiver bereavement (bereaved prior to intervention: yes, no), patient residence (private residence, other), caregiver residence (co-resides with patient: yes, no), length of time caregiving (less than 1 year, 1–3 years, more than 3 years), hours per week of caregiving (less than 5 h, 5–10 h, 11–20 h, greater than 20 h), care-related out-of-pocket expenses (yes, no), and caregiver employment outside of the home (yes, no).', 'The eligibility of population under study includes individuals engaged in active caregiving, excluding bereaved caregivers who did not complete the Caregiver Reaction Assessment (CRA).']",
25547219,['≥18 years'],['female'],"['stage IV HER2-negative metastatic breast cancer', 'HER2-negative breast cancer']",['Patients'],"['Patients aged ≥18 years with histologically or cytologically confirmed stage IV HER2-negative metastatic breast cancer and ≥1 measurable lesion (RECIST criteria, version 1.1) were eligible for enrollment.', '100']",
25545757,['≥3 to ≤21 years'],['gender'],"['cancer', 'Wilms tumor and rhabdomyosarcoma', 'Acute lymphoblastic leukemia and non-Hodgkin lymphoma']",208 patients,"['Stratum 1', 'Stratum 2']",
25545744,['40-70 years'],['male'],['prostate cancer'],60 patients,"['40-70 y', '60 subjects per group']",
25537522,['≤50'],['female'],"['premenopausal', 'early stage breast cancer']",40 patients,"['Eligibility of population under study: Women diagnosed with Stage 0 – III breast cancer at or before age 50, completed local and/or adjuvant cancer therapy (except hormonal therapy) at least 3 months previously, up to 10 years post-cancer treatment. Exclusion criteria include breast cancer recurrence, metastasis, another cancer diagnosis (excluding non-melanoma skin cancer), active uncontrolled medical illness impacting inflammation, and inability to commit to intervention schedule.', '8-14 women', '40']",
25529832,"['60-69 years, ≥50 years']",['female'],"['advanced ovarian cancer', 'worse quality of life scores']",1864 patients,"['The eligibility of the population under study in GOG-218 is patients with advanced ovarian cancer.', 'Eligibility criteria: patients enrolled on GOG-218 who reported G ≥1 NT. No exclusion criteria mentioned.']",
25528993,['50-85 years'],['Latino'],"['no personal history of gastrointestinal disorder', 'no recent colonoscopy', 'suspected colorectal cancer']",251 patients,"[['no personal history of CRC', 'no immediate family history of CRC']]",
25521661,['?21 years'],['female'],['breast cancer'],['46 patients'],"['The eligibility criteria for the population under study include being at least 18 years old, having a diagnosis of invasive or metastatic breast cancer, being able to complete questionnaires in English, and not having an existing personal website.', '20% (n = 88) were randomized and included in analyses for the randomized controlled trial.', 'female', 'female', 'female']",
25520389,['50-75 years'],['male'],['prostate cancer'],"['6,390']","['Eligible men were aged 50-75 years.', 'Eligible subjects were randomized to dutasteride 0.5 mg/day or placebo.']",
25516073,['older'],['African American'],,1220 patients,"['Eligible population under study: Baltimore City residents, aged 65 and older, enrolled in Medicare Parts A and B. Exclusions include individuals enrolled in Medicare Part C, residing in chronic care facilities or otherwise institutionalized, unable or unwilling to give informed consent, diagnosed with cancer within 5 years of enrollment, or having a cancer diagnosis more than 5 years ago but in remission for <5 years.', 'The eligibility criteria for the population under study include being aged between 65 and 75 years at baseline, not having a self-reported history of irritable bowel disease, and not being lost to follow-up. The final study population comprised 1,220 adults.']",
25500100,['≥18 years'],['female'],"['high-risk operable lung cancer', 'lung cancer']",212 patients,"['Eligible patients for this study included patients with biopsy proven stage I lung cancers 3 cm or less in maximum diameter, defined as high-risk for lobectomy if they met at least one major criterion or two minor criteria. Patients were required to be evaluated by an ACOSOG-approved thoracic surgeon and considered either to not be a candidate for lobectomy (standard–risk operable patients), or to not be a candidate for any form of pulmonary resection (medically inoperable patients).', 'All randomized and eligible patients are included in the QOL analysis.']",
25497694,['35-70 years'],['women'],['increased risk of developing breast cancer'],37 patients,"['Eligible population: women aged 35-70 years from 37 centres in eight countries (UK, Australia, New Zealand, Finland, Spain, Switzerland, Belgium, Ireland), judged to be at increased risk of developing breast cancer based on family history or abnormal benign breast disease. Excluded those with invasive cancer (excluding skin cancer), deep vein thrombosis, pulmonary embolism, pregnancy desire, and menopausal hormone therapy use restrictions not specified.', 'The eligibility of the population under study is women who have completed active treatment and are being followed up for occurrence of breast cancer, any other cancer, major adverse events, and death.']",
25495490,['younger than 35 years'],['female'],,['3066 patients'],"['The eligibility criteria for the population under study include being premenopausal women with operable breast cancer whose tumors express estrogen or progesterone receptors in at least 10% of the cells.', 'The eligibility criteria for the population under study include having undergone either total mastectomy with optional radiotherapy or breast-conserving surgery with required radiotherapy, and either axillary dissection or sentinel-node biopsy. Additionally, patients who had not received chemotherapy were randomized within 12 weeks post-definitive surgery, while those receiving chemotherapy before randomization and remaining premenopausal were enrolled within 8 months after completing chemotherapy, confirmed by a local laboratory to have a premenopausal estradiol level. Patients were allowed to receive adjuvant oral endocrine therapy prior to randomization.', 'female', 'The eligibility of the population under study in SOFT predominantly consisted of very young women who remained premenopausal after chemotherapy. The enrolled patients were older and had lower-risk characteristics than anticipated.']",
25490525,"['68.14 vs 62.90 years, P=0.026']",['female'],['lung cancer'],['116 patients'],['18 years'],
25490004,['63 years'],['male and female'],"['small-cell lung cancer (SCLC), extensive stage', 'cancer']",802 patients,"['329', 'male sex']",
25488826,['61.7 years (controls)'],['male'],,"['1,275 patients', '2062 patients']","['The eligibility of the population under study includes men aged 50-69 years at 337 general practices in nine UK centers (Birmingham, Bristol, Cambridge, Cardiff, Edinburgh, Leeds, Leicester, Newcastle, Sheffield).', '1,962', '3,390', '85% of men']",
25482023,['70 years or older'],['female'],['small cell lung cancer (SCLC)'],,['70 years or older'],
25476537,['18 years or older'],['women'],['stage II/III HER2-negative breast cancer'],31 patients,"['Women 18 y or older', '31 women per arm']",
25475110,['≥65 years'],['female'],['healthy'],39876 patients,"['39,876 women of 45 years of age or older, without a history of cardiovascular disease or cancer.']",
25461801,['28-84 years'],['female'],['CRC (Colorectal Cancer)'],546 patients,"['Eligibility criteria: asymptomatic individuals with at least one FDR (first-degree relative) with histologically confirmed CRC, not having a personal history of CRC, adenomas or inflammatory bowel disease, hereditary CRC, or colonoscopy examination within the past 5 years.']",
25449185,['60 years or older'],['female'],['cancer'],410 patients,"['410', '60 years of age or older', 'Eligibility criteria: cancer survivors with self-reported sleep disturbance scores of less than or equal to 5 or greater than 5, recruited in cohorts of 20 to 30.']",
25446610,['≥18 years'],,['rectal cancer'],35 patients,['18 years'],
25435541,['not updated'],"['jewish', 'aj ethnicity']",,1034 patients,['Ashkenazi Jewish (AJ) individuals'],
25432953,['55.2 years'],['Caucasian'],['skin cancer'],192 patients,['outpatient primary care'],
25431150,['children'],['male'],"['high-grade glioma (HGG)', 'midline tumors']",['172 children'],"['172 eligible children with newly-diagnosed HGG outside of the brainstem or spinal cord', '60 patients']",
25425475,['≥18 years'],['male'],['castration-resistant prostate cancer (CRPC)'],745 patients,[['no previous bisphosphonate exposure']],
25423327,['not mentioned'],['female'],"[None, 'breast cancer']",150 patients,[['postmenopausal']],
25417775,['median: 69 years'],['male'],"['metastatic, castration-resistant prostate cancer']",1050 patients,"['Answer: Patient eligibility included histologically documented, castration-resistant, progressive adenocarcinoma of the prostate. Relevant exclusion criteria included prior chemotherapy or anti-angiogenic therapy, ECOG performance status > 2, evidence of brain metastasis, congestive heart failure, uncontrolled hypertension, a gastrointestinal (GI) bleed within the past 6 months, a GI perforation within the past 12 months, history of an ATE within the past 12 months, serious non-healing ulcers or wounds, or grade ≥ 2 peripheral neuropathy.']",
25417174,['18-70 years'],['female'],['breast cancer'],194 patients,"['The eligibility criteria for the population under study include: women aged 18 to 70 years, with a history of ductal carcinoma in situ or Stage I-IIIA breast cancer, not currently receiving or planning to receive chemotherapy or radiation therapy, at least 8 weeks post-surgical procedure, English speaking, medical clearance provided by physician, and participating in ≤30 minutes of vigorous physical activity or 60 minutes of moderate activity per week during the past 6 months. Exclusion criteria include dementia or organic brain syndrome, disorders interfering with participation (e.g., psychosis, schizophrenia), contraindication to regular physical activity, metastatic or recurrent breast cancer, inability to ambulate, elective surgery interfering with participation, travel plans interfering with scheduled study sessions, and participating in another exercise study.', '194 participants']",
25405577,['not associated'],['female'],"['advanced/recurrent cervical cancer', 'cancer', None, 'cancer']",41 patients,['41'],
25403016,['43 years (SD 4.9)'],['female'],['Stage 0 to Stage III breast cancer'],128 patients,['Mothers diagnosed within 6 months'],
25384338,"['63 years (median), continuous variable']",['male'],['biochemically-recurrent prostate cancer'],39 patients,"['39 patients', 'Eligible patients had PSA-recurrent prostate cancer after local therapy, non-castrate levels of serum testosterone, non-metastatic disease as determined by CT and/or bone scan, and rising PSA levels.']",
25377349,['18-80 years'],['female'],['breast cancer'],100 patients,"['The eligibility of the population under study includes Latina breast cancer survivors and their families.', 'low-income, immigrant (34%), Spanish speaking Latinos, primarily from Mexico (approximately 95%)', 'Latino', 'Latina, African American', 'Latina breast cancer survivors aged 18-80.', 'Latina breast cancer survivors and their caregivers', 'The eligibility criteria aim to include as many potential breast cancer survivors and their caregivers as possible, with a focus on first recruiting Latina survivors and then asking them to identify appropriate caregivers. Each site will have 6-10 participants in the intervention group and 6-10 in the usual care group for a total of 12-20 participants per round.', ""The eligibility criteria for the population under study are Latina survivor and caregiver dyads. The target sample size is 100 such dyads (N = 200), with each dyad consisting of one Latina survivor and one caregiver. This sample size was determined based on power calculations to meet study aims, including evaluating the impact of the intervention on quality of life outcomes and identifying mediators of the intervention's impact on other quality of life domains. The study anticipates a final sample size of 100 dyads after accounting for expected attrition (20%).""]",
25372556,['not mentioned'],['female'],['increased colon cancer risk'],['120 patients'],['120'],
25371077,['38.4-86.2 years'],['female'],"['Stage IV nonsquamous NSCLC', 'cancer']",464 patients,"['Eligibility criteria: Chemotherapy naïve adults (≥18 years of age) with histologically or cytologically confirmed stage IV (AJCC version 7) nonsquamous NSCLC, ECOG PS 0 or 1, measurable disease by RECIST, adequate organ function. Stable treated brain metastases allowed. Eligible for both pemetrexed and bevacizumab. Women of childbearing potential must have negative pregnancy test; all patients at risk of pregnancy must use effective contraception. Excluded: contraindications to pemetrexed or bevacizumab, recent radiotherapy, surgery, neurosurgical resection or brain biopsy, investigational agent within 30 days, serious concomitant disorder affecting protocol adherence.', 'eligible patients with nonsquamous NSCLC', '464 patients with lung cancer', '360']",
25370890,['≥20 years'],['female'],['Head and neck cancer'],74 patients,"['25-35 RT fractions, 5,000-7,000 cGy with Cobalt-60 radiation', 'The eligibility of the population under study is not explicitly mentioned in this chunk. However, it states that initially 80 patients agreed to be enrolled, and finally completed data were from 74 patients (92.5 %) composing of 37 patients in study group and 37 patients in control groups.', 'The eligibility criteria for the population under study include passing the inclusion criteria and signing a written informed consent form. Patients who accepted continuous Nutri-jelly intake were assigned to the study group, while those who rejected due to unsatisfied taste or appearance were assigned to the control group. Baseline HRQOL, body mass index, and demographic characteristics of patients in both groups were compared to ensure homogeneity.']",
25361992,['≥65 years'],['men'],['progressive metastatic castration-resistant prostate cancer (mCRPC)'],156 patients,['after chemotherapy'],
25361981,['at diagnosis'],['female'],['disease or clinical condition'],['111 patients'],"['287', 'Answer: Patients with metastatic lesions accessible for either a fine-needle aspiration (FNA) or a core biopsy were asked to give a sample, but sampling was optional.']",
25361548,['45-100 years'],['female and male'],"['prostate gland', 'prostate cancer']",['20 patients'],"['20 patients were recruited for each treatment method (SSIMRT, TOMO).', '20 patients per group']",
25356528,['not specified'],['female'],"['adenocarcinoma of the stomach', 'cancer', 'gastrointestinal cancer']",52 patients,"['The eligibility criteria for the population under study include histologically proven adenocarcinoma of the stomach, clinical stage I, II, or III disease as determined by the Japanese Classification of Gastric Carcinoma (third English edition), and R0 resection achieved by gastrectomy with D1+ or D2 lymphadenectomy according to the Japanese gastric cancer treatment guidelines 2010 (ver. 3). Patients who received preoperative chemotherapy and/or radiation therapy were excluded.', 'The eligibility criteria for the population under study include confirmation during surgery, lymphadenectomy (D1+/D2), type of gastrectomy (subtotal/total), and surgical experience (<15/15+ y).']",
25355722,['not specified'],['female'],"['HER2-positive advanced breast cancer', 'breast cancer']",991 patients,"['Eligible patients had centrally confirmed HER2-positive tumor status, measurable and/or nonmeasurable disease, and an Eastern Cooperative Oncology Group performance status (ECOG PS) of 0 or 1.', 'Eligible population: Patients without untreated, symptomatic, or recently-treated (≤2 months) CNS metastases, and those with asymptomatic CNS metastases previously treated with radiotherapy at least 14 days post-radiotherapy.']",
25351456,['33-88 years'],['male'],"['advanced cancer', 'unresectable stage III or IV NSCLC and cachexia']",477 patients,"['≥18 years of age, diagnosed with unresectable stage III or IV NSCLC, involuntary weight loss of ≥5 % body weight within 6 months prior to screening or a screening BMI <20 kg/m2, a BMI ≤30 kg/m2, an ECOG performance status ≤2, an estimated life expectancy of >4 months, adequate hepatic and renal function, and able to understand and comply with the protocol tests and procedures.', '477', '203 patients']",
25351453,['38-77 years'],['male and female'],"['squamous cell carcinoma of the nasopharynx, oropharynx, hypopharynx or larynx']",20 patients,['untreated'],
25342290,['18-74 years'],['female'],['colon cancer'],32 patients,"['Age ≥18 years, ECOG performance status of 0–1, resectable colon cancer/curative intent of surgery']",
25336068,['Adult'],['female'],['breast cancer'],['200 patients'],"[""Female stage 0 - IIIA breast cancer survivors (N = 200) who completed treatment between 2 months and 3 years prior to enrollment were eligible for the study. They had to have no history of vigorous physical activity exceeding 5 hours per week, other cancers except basal or squamous cell skin cancer, major medical conditions like anemia, diabetes, multiple sclerosis, COPD, ischemic heart disease, uncontrolled hypertension, liver or kidney failure, severe cognitive impairment (dementia, Alzheimer's), alcohol or drug abuse. Those with current or prior yoga practice exceeding three months were also excluded."", 'n = 100', 'The population under study consisted of 25 yoga groups (cohorts) with each including between 4 and 20 participants.']",
25312998,['25-84 years'],"['male', 'female']",,154901 patients,"['53,454 current or former smokers aged 55–74 years with a smoking history of at least 30 pack-years', '154,901 participants aged 55–74 years', '25-84']",
25312997,['37.5 years'],['white'],,['862 patients'],"['Eligible patients were at least 18 years old, a regular patient of the primary care clinic, not cognitively impaired, resided outside of a nursing home or institutional setting, spoke and understood English or Spanish, and were able to provide informed consent. In addition, participants must have been identified as having an abnormal screening test, diagnostic test, or clinical finding leading to diagnostic testing for cervical, breast, or colorectal cancer. Participants with a positive history of previous medical navigation or cancer, with the exception of non-melanoma of the skin, were ineligible.', 'Eligibility criteria: female, over the age of 30, college graduate, previous work experience in healthcare system, completed multiple training sessions. Ethnic diversity includes Hispanic, black, non-Hispanic white navigators.']",
25305506,['≥18 years'],['female'],['stage III cancer'],['2720 patients'],"['2,720 patients', 'N=783']",
25305352,['not mentioned'],['male'],['prostate cancer'],45 patients,"['45 patients enrolled in a phase II clinical trial, 15 randomly selected from each treatment group.']",
25304986,['62.6 (SD=6.6) years'],['female'],['breast cancer'],1124 patients,"['Eligibility: postmenopausal women, overweight and obese (BMI ≥25 kg/m2), lean (BMI < 25 kg/m2)', 'Eligible participants for this study were diagnosed with primary operable breast carcinoma (Stage I–III) within the past 5 years, were postmenopausal at the time of breast cancer diagnosis, and not scheduled for or currently undergoing chemotherapy. Women were excluded if they had been diagnosed with any additional primary or recurrent invasive cancer within the last 10 years; or had serious medical conditions such as renal insufficiency, liver impairment, or congestive heart failure. Participants were also excluded if they were diabetic or were using hormone replacement therapy; had been diagnosed with a neurological condition; or were taking a medication that, in the investigators’ judgment, would impact cognitive function.', '56% female; age:47.9 ±23.1 years; education: 14.5±3.1 years']",
25277673,['18 years or older'],['Male'],['No history of prostate cancer'],['420 patients'],"['The eligibility criteria for the population under study include being male, aged 18 years or older, able to read and understand English, and having no history of prostate cancer.']",
